t_s,recv_per_sec,lat_avg_ms,robots_seen
1.0,5.00,1.36,1
2.0,5.00,1.34,1
3.0,5.00,1.33,1
4.0,5.00,1.27,1
5.0,5.00,1.24,1
6.0,5.00,1.64,1
7.0,5.00,1.27,1
8.0,5.00,1.35,1
9.0,5.00,1.26,1
10.0,5.00,41.73,1
11.0,3.00,69.62,1
12.0,6.00,247.43,1
13.0,5.00,41.29,1
14.0,6.00,140.50,1
15.0,2.00,716.70,1
16.0,7.00,622.27,1
17.0,4.00,311.88,1
18.0,7.00,149.39,1
19.0,4.00,152.49,1
20.0,0.00,0.00,0
21.0,0.00,0.00,0
22.0,0.00,0.00,0
23.0,0.00,0.00,0
24.0,0.00,0.00,0
25.0,0.00,0.00,0
26.0,0.00,0.00,0
27.0,0.00,0.00,0
28.0,0.00,0.00,0
29.0,0.00,0.00,0
30.0,0.00,0.00,0
31.0,0.00,0.00,0
32.0,0.00,0.00,0
33.1,4.00,1.23,1
34.0,5.00,1.21,1
35.0,5.00,1.20,1
36.0,5.00,1.60,1
37.0,5.00,1.51,1
38.0,5.00,1.41,1
39.0,5.00,1.40,1
40.0,5.00,1.15,1
41.0,5.00,1.10,1
42.0,5.00,1.23,1
43.0,5.00,1.47,1
44.0,5.00,1.32,1
